Entity,Code,Year,Energy,Primary energy consumption per capita (kWh/person)
Syria,SYR,2021,5507.217,5507.217
Taiwan,TWN,2021,57989.336,57989.336
Tajikistan,TJK,2021,7674.914,7674.914
Tanzania,TZA,2021,907.40393,907.40393
Thailand,THA,2021,19425.64,19425.64
Togo,TGO,2021,1115.7043,1115.7043
Tonga,TON,2021,6698.5938,6698.5938
Trinidad and Tobago,TTO,2021,111051.42,111051.42
Tunisia,TUN,2021,9524.1045,9524.1045
Turkey,TUR,2021,22817.182,22817.182
Turkmenistan,TKM,2021,70866.02,70866.02
Turks and Caicos Islands,TCA,2021,19615.283,19615.283
Uganda,UGA,2021,766.84607,766.84607
Ukraine,UKR,2021,21459.945,21459.945
United Arab Emirates,ARE,2021,139828.77,139828.77
United Kingdom,GBR,2021,29716.807,29716.807
United States,USA,2021,76988.75,76988.75
United States Virgin Islands,VIR,2021,97972.12,97972.12
Upper-middle-income countries,,2021,27324.12,27324.12
Uruguay,URY,2021,18316.926,18316.926
Uzbekistan,UZB,2021,16552.88,16552.88
Vanuatu,VUT,2021,2957.4438,2957.4438
Venezuela,VEN,2021,20686.414,20686.414
Vietnam,VNM,2021,12375.912,12375.912
Western Sahara,ESH,2021,1937.9335,1937.9335
World,OWID_WRL,2021,20981.156,20981.156
Yemen,YEM,2021,1080.0393,1080.0393
Zambia,ZMB,2021,3418.863,3418.863
Zimbabwe,ZWE,2021,2635.1536,2635.1536
